course_name,classes_per_week,class_duration,country,pricing,currency
quran with tajweed,2,30,US,30,$
quran with tajweed,3,30,US,35,$
quran with tajweed,4,30,US,40,$
quran with tajweed,5,30,US,45,$
quran with tajweed,6,30,US,50,$
quran with tajweed,2,30,CA,30,$
quran with tajweed,3,30,CA,35,$
quran with tajweed,4,30,CA,40,$
quran with tajweed,5,30,CA,45,$
quran with tajweed,6,30,CA,50,$
quran with tajweed,2,30,UK,20,£
quran with tajweed,3,30,UK,25,£
quran with tajweed,4,30,UK,30,£
quran with tajweed,5,30,UK,35,£
quran with tajweed,6,30,UK,40,£
quran with tajweed,2,30,EU,30,€
quran with tajweed,3,30,EU,35,€
quran with tajweed,4,30,EU,40,€
quran with tajweed,5,30,EU,45,€
quran with tajweed,6,30,EU,50,€
