course_name,classes_per_week,class_duration,country,pricing,currency
noorani qauida,2,30,US,30,$
noorani qauida,3,30,US,35,$
noorani qauida,4,30,US,40,$
noorani qauida,5,30,US,45,$
noorani qauida,6,30,US,50,$
noorani qauida,2,30,CA,30,$
noorani qauida,3,30,CA,35,$
noorani qauida,4,30,CA,40,$
noorani qauida,5,30,CA,45,$
noorani qauida,6,30,CA,50,$
noorani qauida,2,30,UK,20,£
noorani qauida,3,30,UK,25,£
noorani qauida,4,30,UK,30,£
noorani qauida,5,30,UK,35,£
noorani qauida,6,30,UK,40,£
noorani qauida,2,30,EU,30,€
noorani qauida,3,30,EU,35,€
noorani qauida,4,30,EU,40,€
noorani qauida,5,30,EU,45,€
noorani qauida,6,30,EU,50,€
